simulation,placebo_mean_R
573,0.18090957413189795
574,0.21977164474871777
575,0.17997748202969416
576,0.1822946640628514
577,0.21326567986648212
578,0.20512007253351408
579,0.23249860430244723
580,0.22245493703559432
581,0.24525722894449165
582,0.2082881059008311
583,0.26139830063823416
584,0.25567905786175354
585,0.20095500201559835
586,0.23076759087054435
587,0.24931752802401744
588,0.23249860430244723
589,0.22834446856845525
590,0.25382196962592496
591,0.2305975735909837
592,0.22005050921226696
593,0.1867991056647589
594,0.22005050921226696
595,0.20650516246446748
596,0.22842576155427521
597,0.21413369495805715
598,0.2146184360384977
599,0.2708720168601058
600,0.2073560137986273
601,0.23885621716146263
602,0.19364091605259356
603,0.22507974690105245
604,0.2794448406798433
605,0.2393596142733265
606,0.23857289216757144
607,0.1971978180202554
608,0.22017574467372183
609,0.22234755671043027
610,0.2018553508661112
611,0.22115673467967123
612,0.2535072458250451
613,0.23750346098944713
614,0.23108231467142423
615,0.21295002111365305
616,0.23127098798240822
617,0.23159379492159224
618,0.23127098798240822
619,0.18413161776368608
620,0.1896443320928919
621,0.23874318092395183
622,0.20650516246446748
623,0.20095500201559835
624,0.19971528208109363
625,0.195812728089302
626,0.22005050921226696
627,0.19595809808575076
628,0.17172031696278575
629,0.24631951193626098
630,0.23076759087054435
631,0.19779505178658546
632,0.23198266352193708
633,0.25567905786175354
634,0.18090957413189795
635,0.21295002111365305
636,0.17172031696278575
637,0.2694869269291524
638,0.1763778498086416
639,0.22842576155427521
640,0.23874318092395183
641,0.2552070595568783
642,0.2494032815401794
643,0.24576062605635546
644,0.20560481361395458
645,0.24576062605635546
646,0.26080915001020827
647,0.1667427429971347
648,0.22319125985823515
649,0.21242197671867724
650,0.20796529896164706
651,0.25396733962237367
652,0.1867991056647589
653,0.25382196962592496
654,0.16082592874292492
655,0.23265607791336165
656,0.19878318997888983
657,0.2155187848890106
658,0.19095324139875086
659,0.22301382291549984
660,0.22834446856845525
661,0.21512183315036154
662,0.22369465697009905
663,0.22834446856845525
664,0.18914093498102805
665,0.22842576155427521
666,0.21188058993552872
667,0.24493442200530757
668,0.24400942587168278
669,0.23611837105849373
670,0.26139830063823416
671,0.19595809808575076
672,0.1937984678268838
673,0.21295002111365305
674,0.23947770154842637
675,0.217104156847645
676,0.22384002696654773
677,0.20746190184978322
678,0.15616839589706913
679,0.20095500201559835
680,0.21977164474871777
681,0.1679824629316394
682,0.16581065089493094
683,0.19968353882940273
684,0.2155187848890106
685,0.2393596142733265
686,0.22369465697009905
687,0.2635701126749426
688,0.2219515399237305
689,0.22507974690105245
690,0.20796529896164706
691,0.2694869269291524
692,0.26389291961412664
693,0.21244662400178924
694,0.18818419559571228
695,0.26080915001020827
696,0.2629809620469168
697,0.23159379492159224
698,0.27588793871218137
699,0.24576062605635546
700,0.1981097755874653
701,0.24400942587168278
702,0.1950260059835469
703,0.27588793871218137
704,0.21927596888435352
705,0.22981085148522862
706,0.24400942587168278
707,0.2373580909929984
708,0.2042152631526591
709,0.2415122267269903
710,0.24307733376947893
711,0.18630342980039458
712,0.18405032477786615
713,0.24576062605635546
714,0.18090957413189795
715,0.24666543543721045
716,0.22842576155427521
717,0.2530230482962259
718,0.19821715591262934
719,0.24525722894449165
720,0.2708720168601058
721,0.24525722894449165
722,0.21977164474871777
723,0.2334428000191167
724,0.23668440512475417
725,0.20560481361395458
726,0.20746190184978322
727,0.24307733376947893
728,0.2219515399237305
729,0.16581065089493094
730,0.20777216512032104
731,0.2146184360384977
732,0.21792321271233794
733,0.22384002696654773
734,0.19960224584358277
735,0.18865619390058755
736,0.22245493703559432
737,0.22507974690105245
738,0.23572766573943837
739,0.2530352475201698
740,0.21010479468552004
741,0.20330776611579124
742,0.21425893041951197
743,0.16581065089493094
744,0.22301382291549984
745,0.18214929406640262
746,0.24307733376947893
747,0.21413369495805715
748,0.20588367807750374
